"","geoid","city_code","pop_total","pop_with_water_supply","pop_with_sewer_service","qty_water_supply_paralizations","has_selective_waste_collection"
"327",2405108,"240510",6898,6898,NA,NA,NA
"328",2405207,"240520",5419,5419,NA,NA,NA
"329",2405306,"240530",9879,9879,NA,NA,NA
"330",2405405,"240540",5366,5366,NA,NA,NA
"331",2405504,"240550",2669,2669,NA,NA,NA
"332",2405603,"240560",14606,14606,14606,NA,"FALSE"
"333",2405702,"240570",12553,12553,NA,NA,"FALSE"
"334",2405801,"240580",34585,34585,34585,NA,"TRUE"
"335",2405900,"240590",2691,2691,NA,NA,"FALSE"
"336",2406007,"240600",6049,6049,6049,NA,NA
"337",2406106,"240610",18450,18450,18450,NA,"FALSE"
"338",2406205,"240620",6692,6692,NA,NA,NA
"339",2406304,"240630",7478,7478,NA,NA,"FALSE"
"340",2406403,"240640",2765,2765,NA,NA,NA
"341",2406502,"240650",15274,15274,15274,NA,"FALSE"
"342",2406601,"240660",8142,8142,NA,NA,NA
"343",2406700,"240670",11151,11151,11151,NA,"FALSE"
"344",2406809,"240680",4803,4803,4803,NA,NA
"345",2406908,"240690",3933,3933,3933,NA,"TRUE"
"346",2407005,"240700",10129,10129,NA,NA,NA
"347",2407104,"240710",78021,78021,78021,NA,"FALSE"
"348",2407203,"240720",31318,31318,31318,NA,"FALSE"
"349",2407252,"240725",3906,NA,NA,NA,"FALSE"
"350",2407302,"240730",8499,8499,NA,NA,"FALSE"
"351",2407401,"240740",8706,8706,NA,NA,"FALSE"
"352",2407609,"240760",4530,4530,NA,NA,NA
"353",2407807,"240780",22155,22155,22155,NA,NA
"354",2407906,"240790",2219,2219,NA,NA,NA
"355",2408003,"240800",288162,288162,288162,NA,"TRUE"
"356",2408300,"240830",37395,37395,37395,NA,"FALSE"
"357",2408409,"240840",4370,4370,NA,NA,NA
"358",2408508,"240850",4871,4871,4871,NA,"FALSE"
"359",2408607,"240860",4222,4222,NA,NA,"FALSE"
"360",2408706,"240870",3891,3891,NA,NA,"FALSE"
"361",2408805,"240880",5173,5173,NA,NA,NA
"362",2408904,"240890",21483,21483,21483,NA,"TRUE"
"363",2409100,"240910",12655,12655,12655,NA,"FALSE"
"364",2409209,"240920",3075,3075,NA,NA,NA
"365",2409308,"240930",12706,12706,NA,NA,NA
"366",2409332,"240933",5341,5341,NA,NA,NA
"367",2409407,"240940",29954,29954,29954,NA,"FALSE"
"368",2409506,"240950",3429,3429,NA,NA,"FALSE"
"369",2409605,"240960",2568,2568,NA,NA,NA
"370",2409704,"240970",7059,7059,7059,NA,NA
"371",2409902,"240990",14751,14751,14751,NA,NA
"372",2410009,"241000",3761,3761,NA,NA,"FALSE"
"373",2410108,"241010",15139,15139,NA,NA,NA
"374",2410207,"241020",7811,7811,NA,NA,"FALSE"
"375",2410256,"241025",5884,5884,NA,NA,"FALSE"
"376",2410306,"241030",9814,9814,NA,NA,NA
"377",2410405,"241040",9331,9331,NA,NA,NA
"378",2410504,"241050",5040,5040,NA,NA,"FALSE"
"379",2410603,"241060",3213,3213,NA,NA,NA
"380",2410702,"241070",3485,3485,NA,NA,NA
"381",2410801,"241080",4278,4278,NA,NA,"FALSE"
"382",2410900,"241090",7863,7863,7863,NA,NA
"383",2411007,"241100",4547,4547,NA,NA,NA
"384",2411056,"241105",4019,4019,NA,NA,NA
"385",2411106,"241110",3678,3678,NA,NA,NA
"386",2411205,"241120",38924,38924,38924,6,"FALSE"
"387",2411403,"241140",13605,13605,NA,NA,NA
"388",2411429,"241142",2675,2675,2675,NA,"TRUE"
"389",2411502,"241150",23865,23865,23865,NA,"FALSE"
"390",2411601,"241160",2905,2905,NA,NA,NA
"391",2411700,"241170",4318,4318,4318,NA,"FALSE"
"392",2411809,"241180",3587,3587,3587,NA,NA
"393",2411908,"241190",4173,4173,NA,NA,"FALSE"
"394",2412104,"241210",6218,6218,NA,NA,"FALSE"
"395",2412302,"241230",12933,12933,NA,NA,NA
"396",2412401,"241240",4567,4567,4567,NA,NA
"397",2412500,"241250",23274,23274,NA,NA,"TRUE"
"398",2412559,"241255",9427,9427,NA,NA,NA
"399",2412609,"241260",17239,17239,17239,NA,NA
"400",2412708,"241270",6216,6216,NA,NA,NA
"401",2412807,"241280",8347,8347,8347,NA,NA
"402",2412906,"241290",11205,11205,11205,NA,NA
"403",2413003,"241300",6400,6400,NA,NA,NA
"404",2413102,"241310",6087,6087,NA,NA,NA
"405",2413300,"241330",5883,5883,NA,NA,NA
"406",2413359,"241335",11507,11507,NA,NA,NA
"407",2413409,"241340",8130,8130,8130,12,"FALSE"
"408",2413508,"241350",6518,6518,NA,NA,"FALSE"
"409",2413557,"241355",4797,4797,NA,NA,NA
